scenario_type,scheduler_type,seed,tt_rate_mult,tt_deadline,dynamic_config_id,cnt_staleness,cnt_failure_rate,cnt_noise_id,mission_count,experiment,tt_miss_rate,rc_miss_rate,be_miss_rate,tt_misses,rc_misses,be_misses,tt_total,rc_total,be_total,jain_index,mean_utilization,mean_worst_tt_aos,max_worst_tt_aos,mean_sched_time,median_sched_time,p95_sched_time,max_sched_time
asymmetric,TwinSync,1002,1.0,3.0,none,0,0.0,none,2,D,0.0,0.0,0.908745247148289,0,0,239,257,331,263,0.9844086327657878,65.64285714285714,-2.92,-2.0,1.2699845015049503e-05,1.287500072066905e-05,1.587704991834471e-05,3.079200087086065e-05
asymmetric,FIFO,1000,1.0,3.0,none,0,0.0,none,2,D,0.8191881918819188,0.5414201183431953,0.0,222,183,0,271,338,256,0.9977589027587908,74.42857142857143,0.815,1.0,4.893694990641961e-06,4.874999831372406e-06,5.500000042957254e-06,1.249999968422344e-05
asymmetric,FIFO,1001,1.0,3.0,none,0,0.0,none,2,D,0.8863636363636364,0.6024464831804281,0.0,234,197,0,264,327,279,1.0,74.21428571428572,0.695,1.0,5.106605003675213e-06,4.999999873689376e-06,5.625000085274223e-06,1.808300021366449e-05
asymmetric,FIFO,1002,1.0,3.0,none,0,0.0,none,2,D,0.8910505836575876,0.5649546827794562,0.0,229,187,0,257,331,263,0.9999451333260178,73.92857142857143,0.825,1.0,4.748724982164276e-06,4.749999789055437e-06,5.249999958323315e-06,1.0083000233862547e-05
asymmetric,RoundRobin,1000,1.0,3.0,none,0,0.0,none,2,D,0.4059040590405904,0.4556213017751479,0.8984375,110,154,230,271,338,256,0.9464757011647956,35.49999999999999,-0.02,1.0,1.8341949953537552e-06,1.958499979082262e-06,2.791999622786534e-06,7.249999725900125e-06
asymmetric,RoundRobin,1001,1.0,3.0,none,0,0.0,none,2,D,0.3901515151515151,0.4587155963302752,0.8960573476702509,103,150,250,264,327,279,0.9533594863159452,34.49999999999999,-0.245,1.0,1.7972399609789137e-06,1.99999976757681e-06,2.457999516991549e-06,3.2910002119024284e-06
asymmetric,RoundRobin,1002,1.0,3.0,none,0,0.0,none,2,D,0.4085603112840467,0.4471299093655589,0.908745247148289,105,148,239,257,331,263,0.936283185840708,35.14285714285713,-0.11,1.0,1.7926450027516693e-06,1.957999756996287e-06,2.466349496899053e-06,4.042000000481494e-06
artemis,TwinSync,1000,1.0,3.0,none,0,0.0,none,6,D,0.0,0.0,0.198394495412844,0,0,173,598,727,872,0.9774490764141992,101.575,-2.78,-1.0,2.1345324994399563e-05,2.14789997698972e-05,2.8983000265725413e-05,7.349899988184916e-05
artemis,TwinSync,1001,1.0,3.0,none,0,0.0,none,6,D,0.0,0.0,0.2151029748283753,0,0,188,590,717,874,0.9833675320792428,99.9,-2.78,-1.0,2.1448724992296776e-05,2.181250010835356e-05,3.101360002801811e-05,3.841600027953973e-05
artemis,TwinSync,1002,1.0,3.0,none,0,0.0,none,6,D,0.0,0.0,0.1925754060324826,0,0,166,612,718,862,0.9753846116067372,101.325,-2.78,-1.0,2.01380900125514e-05,2.0436999875528272e-05,2.8755250150425125e-05,3.591600034269504e-05
artemis,FIFO,1000,1.0,3.0,none,0,0.0,none,6,D,0.3712374581939799,0.1925722145804676,0.0,222,140,0,598,727,872,0.931839580850598,101.925,0.84,1.0,1.423921499736025e-05,1.4082999769016167e-05,1.9756250276259375e-05,2.9333000384212937e-05
artemis,FIFO,1001,1.0,3.0,none,0,0.0,none,6,D,0.411864406779661,0.207810320781032,0.0,243,149,0,590,717,874,0.9318477996640596,100.425,0.795,1.0,1.4489384943772164e-05,1.435450030840002e-05,2.1110049419803532e-05,2.8290999580349308e-05
artemis,FIFO,1002,1.0,3.0,none,0,0.0,none,6,D,0.3578431372549019,0.1685236768802228,0.0,219,121,0,612,718,862,0.931663394736182,102.0,0.8,1.0,1.4083375003792752e-05,1.3875000149710104e-05,2.033505006693304e-05,4.029100000479957e-05
artemis,RoundRobin,1000,1.0,3.0,none,0,0.0,none,6,D,0.782608695652174,0.7469050894085282,0.7293577981651376,468,543,636,598,727,872,0.9513952666902156,20.65,0.945,1.0,3.729329982888885e-06,3.645499418780673e-06,7.173200128818278e-06,1.2583000170707235e-05
artemis,RoundRobin,1001,1.0,3.0,none,0,0.0,none,6,D,0.8016949152542373,0.7461645746164575,0.7356979405034325,473,535,643,590,717,874,0.9630796451165335,20.2,0.93,1.0,3.626205061664223e-06,3.625000317697413e-06,6.586050403711851e-06,1.370799964206526e-05
artemis,RoundRobin,1002,1.0,3.0,none,0,0.0,none,6,D,0.7777777777777778,0.7493036211699164,0.7308584686774942,476,538,630,612,718,862,0.9433870589417954,21.125,0.94,1.0,3.910555019501771e-06,3.85449993700604e-06,7.549349857072226e-06,1.5623999388481025e-05
